Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000550
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Pressure [hPa];Batt Voltage [V];Logger Status
$;04:15:09;10:59:30;16.09.2020;Y;09;51 56.82665 N;014 35.36997 E;0.091;0.1;;87.5;33.0;29.625;36.133;1008.570;8.7;66673
$;04:15:11;10:59:32;16.09.2020;Y;09;51 56.82656 N;014 35.37008 E;0.062;0.1;;86.6;33.125;29.500;36.156;1008.530;8.7;66673
$;04:15:13;10:59:34;16.09.2020;Y;09;51 56.82669 N;014 35.37031 E;0.167;0.3;;86.6;33.125;29.500;36.171;1008.599;8.7;66673
$;04:15:15;10:59:36;16.09.2020;Y;09;51 56.82678 N;014 35.37041 E;0.091;0.1;;86.3;33.0;29.500;36.202;1008.440;8.7;66673
$;04:15:17;10:59:38;16.09.2020;Y;09;51 56.82694 N;014 35.37078 E;0.338;0.6;;86.6;33.125;29.625;36.194;1008.489;8.7;66673
$;04:15:19;10:59:40;16.09.2020;Y;09;51 56.82695 N;014 35.37108 E;0.416;0.7;;87.1;33.0;29.500;36.186;1008.650;8.7;66673
$;04:15:21;10:59:42;16.09.2020;Y;09;51 56.82687 N;014 35.37134 E;0.195;0.3;;86.5;32.875;29.625;36.247;1008.530;8.7;66673
$;04:15:23;10:59:44;16.09.2020;Y;09;51 56.82693 N;014 35.37149 E;0.048;0.0;;85.9;33.125;29.250;36.186;1008.500;8.7;66673
$;04:15:25;10:59:46;16.09.2020;Y;09;51 56.82707 N;014 35.37165 E;0.058;0.1;;85.9;33.0;29.250;36.156;1008.530;8.7;66673
$;04:15:27;10:59:48;16.09.2020;Y;09;51 56.82720 N;014 35.37171 E;0.091;0.1;;85.7;33.125;29.250;36.125;1008.539;8.7;66673
$;04:15:29;10:59:50;16.09.2020;Y;09;51 56.82735 N;014 35.37183 E;0.215;0.3;;85.9;33.0;29.500;36.79;1008.369;8.7;66673
$;04:15:31;10:59:52;16.09.2020;Y;09;51 56.82744 N;014 35.37190 E;0.214;0.3;;85.9;33.125;29.250;36.118;1008.359;8.7;66673
$;04:15:33;10:59:54;16.09.2020;Y;09;51 56.82755 N;014 35.37191 E;0.222;0.4;;86.0;33.0;29.375;36.224;1008.510;8.7;66673
$;04:15:35;10:59:56;16.09.2020;Y;09;51 56.82779 N;014 35.37193 E;0.208;0.3;;86.1;33.125;29.250;36.324;1008.580;8.7;66673
$;04:15:37;10:59:58;16.09.2020;Y;09;51 56.82789 N;014 35.37194 E;0.029;0.0;;86.2;33.125;29.375;36.430;1008.359;8.7;66673
$;04:15:39;11:00:00;16.09.2020;Y;09;51 56.82793 N;014 35.37170 E;0.286;0.5;;86.6;33.0;29.250;36.552;1008.530;8.7;66673
$;04:15:41;11:00:02;16.09.2020;Y;09;51 56.82803 N;014 35.37147 E;0.437;0.8;;87.5;33.125;29.375;36.613;1008.340;8.7;66673
$;04:15:43;11:00:04;16.09.2020;Y;09;51 56.82796 N;014 35.37120 E;0.099;0.1;;88.0;33.250;29.250;36.484;1008.299;8.7;66673
$;04:15:45;11:00:06;16.09.2020;Y;09;51 56.82784 N;014 35.37093 E;0.136;0.2;;88.2;33.125;29.375;36.469;1008.419;8.7;66673
$;04:15:47;11:00:08;16.09.2020;Y;09;51 56.82759 N;014 35.37067 E;0.100;0.1;;88.7;33.250;29.125;36.438;1008.429;8.7;66673
$;04:15:49;11:00:10;16.09.2020;Y;09;51 56.82751 N;014 35.37074 E;0.139;0.2;;88.7;33.0;29.375;36.415;1008.559;8.7;66673
$;04:15:51;11:00:12;16.09.2020;Y;09;51 56.82745 N;014 35.37082 E;0.128;0.2;;88.8;33.125;29.375;36.400;1008.429;8.7;66673
$;04:15:53;11:00:14;16.09.2020;Y;09;51 56.82747 N;014 35.37091 E;0.091;0.1;;89.3;33.0;29.500;36.407;1008.549;8.7;66673
$;04:15:55;11:00:16;16.09.2020;Y;09;51 56.82753 N;014 35.37102 E;0.175;0.3;;89.2;33.125;29.250;36.430;1008.559;8.7;66673
$;04:15:57;11:00:18;16.09.2020;Y;09;51 56.82767 N;014 35.37110 E;0.087;0.1;;89.5;33.125;29.375;36.461;1008.500;8.7;66673
$;04:15:59;11:00:20;16.09.2020;Y;09;51 56.82780 N;014 35.37122 E;0.099;0.1;;89.9;33.0;29.500;36.484;1008.469;8.7;66673
$;04:16:01;11:00:22;16.09.2020;Y;09;51 56.82779 N;014 35.37118 E;0.074;0.1;;90.2;33.250;29.375;36.530;1008.479;8.7;66673
$;04:16:03;11:00:24;16.09.2020;Y;09;51 56.82802 N;014 35.37127 E;0.257;0.4;;90.5;33.0;29.375;36.560;1008.500;8.7;66673
$;04:16:05;11:00:26;16.09.2020;Y;09;51 56.82799 N;014 35.37130 E;0.080;0.1;;90.1;33.125;29.375;36.591;1008.340;8.7;66673
$;04:16:07;11:00:28;16.09.2020;Y;09;51 56.82806 N;014 35.37140 E;0.041;0.0;;89.9;33.250;29.625;36.598;1008.489;8.7;66673
$;04:16:09;11:00:30;16.09.2020;Y;09;51 56.82810 N;014 35.37139 E;0.048;0.0;;89.8;33.125;29.500;36.591;1008.559;8.7;66673
$;04:16:11;11:00:32;16.09.2020;Y;09;51 56.82819 N;014 35.37148 E;0.057;0.1;;90.1;33.250;29.250;36.354;1008.570;8.7;66673
$;04:16:13;11:00:34;16.09.2020;Y;09;51 56.82830 N;014 35.37167 E;0.027;0.0;;90.0;33.125;29.625;36.202;1008.549;8.7;66673
$;04:16:15;11:00:36;16.09.2020;Y;09;51 56.82833 N;014 35.37172 E;0.109;0.2;;90.1;33.250;29.625;36.263;1008.500;8.7;66673
$;04:16:17;11:00:38;16.09.2020;Y;09;51 56.82844 N;014 35.37171 E;0.117;0.2;;90.5;33.250;29.250;36.270;1008.380;8.7;66673
$;04:16:19;11:00:40;16.09.2020;Y;09;51 56.82854 N;014 35.37160 E;0.101;0.1;;91.0;33.125;29.625;36.331;1008.460;8.7;66673
$;04:16:21;11:00:42;16.09.2020;Y;09;51 56.82852 N;014 35.37147 E;0.167;0.3;;91.4;33.250;29.500;36.362;1008.359;8.7;66673
$;04:16:23;11:00:44;16.09.2020;Y;09;51 56.82857 N;014 35.37141 E;0.036;0.0;;91.3;33.125;29.625;36.331;1008.539;8.6;66673
$;04:16:25;11:00:46;16.09.2020;Y;09;51 56.82849 N;014 35.37129 E;0.201;0.3;;91.6;33.250;29.375;36.324;1008.489;8.7;66673
$;04:16:27;11:00:48;16.09.2020;Y;09;51 56.82841 N;014 35.37105 E;0.254;0.4;;91.7;33.375;29.375;36.385;1008.340;8.7;66673
$;04:16:29;11:00:50;16.09.2020;Y;09;51 56.82833 N;014 35.37072 E;0.052;0.0;;91.6;33.375;29.375;36.430;1008.500;8.7;66673
$;04:16:31;11:00:52;16.09.2020;Y;09;51 56.82800 N;014 35.37059 E;0.438;0.8;;91.8;33.250;29.500;36.484;1008.520;8.7;66673
$;04:16:33;11:00:54;16.09.2020;Y;09;51 56.82784 N;014 35.37032 E;0.130;0.2;;91.8;33.250;29.500;36.507;1008.460;8.7;66673
$;04:16:35;11:00:56;16.09.2020;Y;09;51 56.82777 N;014 35.37019 E;0.057;0.1;;92.0;33.250;29.375;36.552;1008.489;8.7;66673
$;04:16:37;11:00:58;16.09.2020;Y;09;51 56.82774 N;014 35.36994 E;0.382;0.7;;92.3;33.500;29.500;36.591;1008.429;8.7;66673
$;04:16:39;11:01:00;16.09.2020;Y;09;51 56.82772 N;014 35.36987 E;0.074;0.1;;92.4;33.125;29.375;36.613;1008.549;8.7;66673
$;04:16:41;11:01:02;16.09.2020;Y;09;51 56.82764 N;014 35.36982 E;0.211;0.3;;92.5;33.375;29.750;36.613;1008.450;8.7;66673
$;04:16:43;11:01:04;16.09.2020;Y;09;51 56.82755 N;014 35.36976 E;0.196;0.3;;91.8;33.250;29.375;36.621;1008.400;8.7;66673
$;04:16:45;11:01:06;16.09.2020;Y;09;51 56.82759 N;014 35.36952 E;0.177;0.3;;91.5;33.500;29.500;36.613;1008.599;8.7;66673
$;04:16:47;11:01:08;16.09.2020;Y;09;51 56.82764 N;014 35.36940 E;0.097;0.1;;91.3;33.250;29.375;36.621;1008.419;8.7;66673
$;04:16:49;11:01:10;16.09.2020;Y;09;51 56.82774 N;014 35.36949 E;0.191;0.3;;91.0;33.500;29.375;36.636;1008.469;8.7;66673
$;04:16:51;11:01:12;16.09.2020;Y;09;51 56.82784 N;014 35.36966 E;0.112;0.2;;90.7;33.250;29.625;36.652;1008.630;8.7;66673
$;04:16:53;11:01:14;16.09.2020;Y;09;51 56.82790 N;014 35.36977 E;0.215;0.3;;90.4;33.250;29.625;36.659;1008.400;8.7;66673
$;04:16:55;11:01:16;16.09.2020;Y;09;51 56.82792 N;014 35.36977 E;0.100;0.1;;90.3;33.375;29.500;36.652;1008.549;8.7;66673
$;04:16:57;11:01:18;16.09.2020;Y;09;51 56.82774 N;014 35.36959 E;0.112;0.2;;90.7;33.375;29.625;36.652;1008.500;8.7;66673
$;04:16:59;11:01:20;16.09.2020;Y;09;51 56.82778 N;014 35.36974 E;0.303;0.5;;90.5;33.625;29.625;36.621;1008.450;8.7;66673
$;04:17:01;11:01:22;16.09.2020;Y;09;51 56.82766 N;014 35.36973 E;0.168;0.3;;90.4;33.375;29.750;36.362;1008.440;8.7;66673
$;04:17:03;11:01:24;16.09.2020;Y;09;51 56.82777 N;014 35.36994 E;0.119;0.2;;89.4;33.375;29.500;36.270;1008.400;8.7;66673
$;04:17:05;11:01:26;16.09.2020;Y;09;51 56.82770 N;014 35.37007 E;0.044;0.0;;89.4;33.375;29.750;36.255;1008.630;8.7;66673
$;04:17:07;11:01:28;16.09.2020;Y;09;51 56.82768 N;014 35.37015 E;0.171;0.3;;89.4;33.625;29.750;36.247;1008.409;8.7;66673
$;04:17:09;11:01:30;16.09.2020;Y;09;51 56.82775 N;014 35.36995 E;0.132;0.2;;89.2;33.375;29.625;36.293;1008.580;8.7;66673
$;04:17:11;11:01:32;16.09.2020;Y;09;51 56.82772 N;014 35.36979 E;0.228;0.4;;89.2;33.625;29.750;36.354;1008.580;8.7;66673
$;04:17:13;11:01:34;16.09.2020;Y;09;51 56.82768 N;014 35.36971 E;0.054;0.1;;89.1;33.375;29.750;36.400;1008.510;8.7;66673
$;04:17:15;11:01:36;16.09.2020;Y;09;51 56.82759 N;014 35.36974 E;0.284;0.5;;88.7;33.625;29.625;36.407;1008.539;8.7;66673
$;04:17:17;11:01:38;16.09.2020;Y;09;51 56.82749 N;014 35.36975 E;0.066;0.1;;88.6;33.500;29.625;36.385;1008.429;8.7;66673
$;04:17:19;11:01:40;16.09.2020;Y;09;51 56.82739 N;014 35.36989 E;0.193;0.3;;88.3;33.625;29.750;36.293;1008.619;8.7;66673
$;04:17:21;11:01:42;16.09.2020;Y;09;51 56.82743 N;014 35.36988 E;0.135;0.2;;88.5;33.500;29.625;36.308;1008.440;8.7;66673
$;04:17:23;11:01:44;16.09.2020;Y;09;51 56.82712 N;014 35.36989 E;0.485;0.8;;89.1;33.625;29.500;36.369;1008.450;8.7;66673
$;04:17:25;11:01:46;16.09.2020;Y;09;51 56.82706 N;014 35.36989 E;0.168;0.3;;89.2;33.625;29.750;36.438;1008.580;8.7;66673
$;04:17:27;11:01:48;16.09.2020;Y;09;51 56.82704 N;014 35.36982 E;0.270;0.5;;89.0;33.625;29.625;36.499;1008.400;8.7;66673
$;04:17:29;11:01:50;16.09.2020;Y;09;51 56.82715 N;014 35.36981 E;0.220;0.4;;89.4;33.625;29.750;36.507;1008.539;8.7;66673
$;04:17:31;11:01:52;16.09.2020;Y;09;51 56.82715 N;014 35.36986 E;0.472;0.8;;89.5;33.500;29.500;36.530;1008.450;8.7;66673
$;04:17:33;11:01:54;16.09.2020;Y;09;51 56.82711 N;014 35.36967 E;0.344;0.6;;89.8;33.500;29.750;36.552;1008.559;8.7;66673
$;04:17:35;11:01:56;16.09.2020;Y;09;51 56.82692 N;014 35.36918 E;0.265;0.4;;89.5;33.750;29.500;36.552;1008.500;8.7;66673
$;04:17:37;11:01:58;16.09.2020;Y;09;51 56.82683 N;014 35.36900 E;0.180;0.3;;89.6;33.500;29.500;36.438;1008.570;8.7;66673
$;04:17:39;11:02:00;16.09.2020;Y;09;51 56.82678 N;014 35.36892 E;0.391;0.7;;90.5;33.625;29.750;36.362;1008.460;8.7;66673
$;04:17:41;11:02:02;16.09.2020;Y;09;51 56.82663 N;014 35.36863 E;0.098;0.1;;91.1;33.625;29.750;36.186;1008.450;8.7;66673
$;04:17:43;11:02:04;16.09.2020;Y;09;51 56.82676 N;014 35.36858 E;0.292;0.5;;91.2;33.750;29.500;36.133;1008.530;8.7;66673
$;04:17:45;11:02:06;16.09.2020;Y;09;51 56.82667 N;014 35.36836 E;0.218;0.4;;91.3;33.500;29.750;36.209;1008.429;8.7;66673
$;04:17:47;11:02:08;16.09.2020;Y;09;51 56.82662 N;014 35.36822 E;0.449;0.8;;91.1;33.500;29.750;36.102;1008.510;8.7;66673
$;04:17:49;11:02:10;16.09.2020;Y;09;51 56.82648 N;014 35.36803 E;0.275;0.5;;91.0;33.875;29.625;35.713;1008.520;8.7;66673
$;04:17:51;11:02:12;16.09.2020;Y;09;51 56.82633 N;014 35.36834 E;0.133;0.2;;91.6;33.625;29.375;35.645;1008.599;8.7;66673
$;04:17:53;11:02:14;16.09.2020;Y;09;51 56.82652 N;014 35.36862 E;0.627;1.1;;92.3;33.875;29.625;35.698;1008.590;8.7;66673
$;04:17:55;11:02:16;16.09.2020;Y;09;51 56.82651 N;014 35.36853 E;0.290;0.5;;92.8;33.750;29.500;35.469;1008.500;8.7;66673
$;04:17:57;11:02:18;16.09.2020;Y;09;51 56.82659 N;014 35.36865 E;0.403;0.7;;92.7;33.875;29.500;35.316;1008.359;8.7;66673
$;04:17:59;11:02:20;16.09.2020;Y;09;51 56.82691 N;014 35.36861 E;0.157;0.2;;93.4;33.625;29.500;34.874;1008.500;8.7;66673
$;04:18:01;11:02:22;16.09.2020;Y;09;51 56.82704 N;014 35.36862 E;0.557;1.0;;93.9;33.750;29.750;34.729;1008.469;8.7;66673
$;04:18:03;11:02:24;16.09.2020;Y;09;51 56.82727 N;014 35.36895 E;0.206;0.3;;94.3;33.625;29.500;34.630;1008.429;8.7;66673
$;04:18:05;11:02:26;16.09.2020;Y;09;51 56.82733 N;014 35.36900 E;0.176;0.3;;94.3;33.750;29.375;34.706;1008.510;8.7;66673
$;04:18:07;11:02:28;16.09.2020;Y;09;51 56.82732 N;014 35.36907 E;0.052;0.0;;94.3;33.750;29.625;34.714;1008.500;8.7;66673
$;04:18:09;11:02:30;16.09.2020;Y;09;51 56.82740 N;014 35.36937 E;0.124;0.2;;94.8;33.750;29.500;34.683;1008.429;8.7;66673
$;04:18:11;11:02:32;16.09.2020;Y;09;51 56.82762 N;014 35.36948 E;0.054;0.1;;94.9;33.625;29.375;34.744;1008.510;8.7;66673
$;04:18:13;11:02:34;16.09.2020;Y;09;51 56.82783 N;014 35.36960 E;0.238;0.4;;95.2;33.625;29.375;34.798;1008.409;8.7;66673
$;04:18:15;11:02:36;16.09.2020;Y;09;51 56.82789 N;014 35.36973 E;0.329;0.6;;95.2;33.750;29.625;34.882;1008.440;8.7;66673
$;04:18:17;11:02:38;16.09.2020;Y;09;51 56.82808 N;014 35.36990 E;0.549;1.0;;96.0;33.875;29.500;35.27;1008.380;8.7;66673
$;04:18:19;11:02:40;16.09.2020;Y;09;51 56.82818 N;014 35.37000 E;0.176;0.3;;95.8;33.875;29.500;35.240;1008.400;8.7;66673
$;04:18:21;11:02:42;16.09.2020;Y;09;51 56.82814 N;014 35.37026 E;0.236;0.4;;95.5;33.625;29.250;35.446;1008.549;8.7;66673
$;04:18:23;11:02:44;16.09.2020;Y;09;51 56.82812 N;014 35.37025 E;0.276;0.5;;95.5;33.750;29.500;35.584;1008.440;8.7;66673
$;04:18:25;11:02:46;16.09.2020;Y;09;51 56.82796 N;014 35.37032 E;0.073;0.1;;94.9;33.750;29.375;35.690;1008.429;8.7;66673
$;04:18:27;11:02:48;16.09.2020;Y;09;51 56.82801 N;014 35.37029 E;0.377;0.6;;95.1;33.875;29.625;35.660;1008.419;8.7;66673
$;04:18:29;11:02:50;16.09.2020;Y;09;51 56.82777 N;014 35.37030 E;0.051;0.0;;95.0;33.875;29.375;35.698;1008.530;8.7;66673
$;04:18:31;11:02:52;16.09.2020;Y;09;51 56.82746 N;014 35.37044 E;0.256;0.4;;94.7;34.0;29.375;35.820;1008.510;8.7;66673
$;04:18:33;11:02:54;16.09.2020;Y;09;51 56.82741 N;014 35.37052 E;0.132;0.2;;94.6;33.875;29.250;36.26;1008.510;8.7;66673
$;04:18:35;11:02:56;16.09.2020;Y;09;51 56.82749 N;014 35.37083 E;0.086;0.1;;95.0;33.875;29.250;36.140;1008.489;8.7;66673
$;04:18:37;11:02:58;16.09.2020;Y;09;51 56.82753 N;014 35.37101 E;0.502;0.9;;95.6;33.875;29.375;36.179;1008.590;8.7;66673
$;04:18:39;11:03:00;16.09.2020;Y;09;51 56.82767 N;014 35.37076 E;0.451;0.8;;96.2;34.0;29.500;36.217;1008.460;8.7;66673
$;04:18:41;11:03:02;16.09.2020;Y;09;51 56.82785 N;014 35.37048 E;0.033;0.0;;96.5;33.875;29.250;36.255;1008.580;8.7;66673
$;04:18:43;11:03:04;16.09.2020;Y;09;51 56.82794 N;014 35.37026 E;0.280;0.5;;97.2;33.750;29.375;36.316;1008.580;8.7;66673
$;04:18:45;11:03:06;16.09.2020;Y;09;51 56.82803 N;014 35.37030 E;0.422;0.7;;98.6;34.0;29.250;36.369;1008.390;8.7;66673
$;04:18:47;11:03:08;16.09.2020;Y;09;51 56.82793 N;014 35.37032 E;0.122;0.2;;98.8;34.0;29.500;36.438;1008.520;8.7;66673
$;04:18:49;11:03:10;16.09.2020;Y;09;51 56.82779 N;014 35.37037 E;0.161;0.2;;98.4;33.750;29.500;36.469;1008.539;8.7;66673
$;04:18:51;11:03:12;16.09.2020;Y;09;51 56.82764 N;014 35.37048 E;0.234;0.4;;97.8;33.875;29.250;36.476;1008.400;8.7;66673
$;04:18:53;11:03:14;16.09.2020;Y;09;51 56.82762 N;014 35.37041 E;0.301;0.5;;98.0;34.0;29.250;36.499;1008.590;8.7;66673
$;04:18:55;11:03:16;16.09.2020;Y;09;51 56.82768 N;014 35.37042 E;0.162;0.3;;98.0;34.0;29.500;36.537;1008.479;8.7;66673
$;04:18:57;11:03:18;16.09.2020;Y;09;51 56.82754 N;014 35.37068 E;0.432;0.8;;97.8;33.875;29.250;36.606;1008.549;8.7;66673
$;04:18:59;11:03:20;16.09.2020;Y;09;51 56.82765 N;014 35.37102 E;0.084;0.1;;97.5;34.0;29.250;36.682;1008.510;8.7;66673
$;04:19:01;11:03:22;16.09.2020;Y;09;51 56.82787 N;014 35.37113 E;0.314;0.5;;97.9;33.875;29.250;36.591;1008.500;8.7;66673
$;04:19:03;11:03:24;16.09.2020;Y;09;51 56.82786 N;014 35.37144 E;0.346;0.6;;98.4;33.875;29.250;36.591;1008.489;8.7;66673
$;04:19:05;11:03:26;16.09.2020;Y;09;51 56.82806 N;014 35.37160 E;0.252;0.4;;98.7;33.875;29.625;36.583;1008.549;8.7;66673
$;04:19:07;11:03:28;16.09.2020;Y;09;51 56.82789 N;014 35.37167 E;0.056;0.1;;98.8;33.875;29.500;36.514;1008.549;8.7;66673
$;04:19:09;11:03:30;16.09.2020;Y;09;51 56.82782 N;014 35.37166 E;0.324;0.6;;98.0;33.875;29.500;36.430;1008.549;8.7;66673
$;04:19:11;11:03:32;16.09.2020;Y;09;51 56.82781 N;014 35.37166 E;0.149;0.2;;98.2;34.0;29.500;36.415;1008.549;8.7;66673
$;04:19:13;11:03:34;16.09.2020;Y;09;51 56.82764 N;014 35.37154 E;0.096;0.1;;98.7;34.0;29.250;36.469;1008.580;8.7;66673
$;04:19:15;11:03:36;16.09.2020;Y;09;51 56.82761 N;014 35.37162 E;0.150;0.2;;99.2;34.0;29.375;36.522;1008.559;8.7;66673
$;04:19:17;11:03:38;16.09.2020;Y;09;51 56.82749 N;014 35.37166 E;0.165;0.3;;99.2;33.875;29.250;36.522;1008.500;8.7;66673
$;04:19:19;11:03:40;16.09.2020;Y;09;51 56.82734 N;014 35.37180 E;0.091;0.1;;99.4;33.875;29.250;36.423;1008.599;8.7;66673
$;04:19:21;11:03:42;16.09.2020;Y;09;51 56.82732 N;014 35.37173 E;0.084;0.1;;99.6;34.0;29.500;36.11;1008.619;8.7;66673
$;04:19:23;11:03:44;16.09.2020;Y;09;51 56.82748 N;014 35.37167 E;0.060;0.1;;99.7;33.875;29.250;35.881;1008.460;8.7;66673
$;04:19:25;11:03:46;16.09.2020;Y;09;51 56.82739 N;014 35.37156 E;0.075;0.1;;99.4;34.0;29.250;35.728;1008.520;8.7;66673
$;04:19:27;11:03:48;16.09.2020;Y;09;51 56.82713 N;014 35.37143 E;0.101;0.1;;98.3;34.0;29.500;35.500;1008.400;8.7;66673
$;04:19:29;11:03:50;16.09.2020;Y;09;51 56.82715 N;014 35.37151 E;0.239;0.4;;98.1;34.0;29.500;35.446;1008.599;8.7;66673
$;04:19:31;11:03:52;16.09.2020;Y;09;51 56.82721 N;014 35.37120 E;0.098;0.1;;98.2;34.0;29.500;35.507;1008.450;8.7;66673
$;04:19:33;11:03:54;16.09.2020;Y;09;51 56.82720 N;014 35.37121 E;0.151;0.2;;97.5;34.125;29.375;35.538;1008.489;8.7;66673
$;04:19:35;11:03:56;16.09.2020;Y;09;51 56.82731 N;014 35.37113 E;0.198;0.3;;97.3;34.125;29.375;35.568;1008.549;8.7;66673
$;04:19:37;11:03:58;16.09.2020;Y;09;51 56.82735 N;014 35.37118 E;0.238;0.4;;97.4;34.0;29.250;35.584;1008.419;8.7;66673
$;04:19:39;11:04:00;16.09.2020;Y;09;51 56.82739 N;014 35.37107 E;0.081;0.1;;97.3;34.125;29.250;35.545;1008.479;8.7;66673
$;04:19:41;11:04:02;16.09.2020;Y;09;51 56.82727 N;014 35.37102 E;0.075;0.1;;97.0;34.0;29.375;35.591;1008.489;8.7;66673
$;04:19:43;11:04:04;16.09.2020;Y;09;51 56.82713 N;014 35.37088 E;0.122;0.2;;97.3;34.0;29.375;35.660;1008.359;8.7;66673
$;04:19:45;11:04:06;16.09.2020;Y;09;51 56.82696 N;014 35.37079 E;0.025;0.0;;96.5;34.0;29.250;35.751;1008.590;8.7;66673
$;04:19:47;11:04:08;16.09.2020;Y;09;51 56.82691 N;014 35.37078 E;0.076;0.1;;95.8;34.0;29.625;35.797;1008.479;8.7;66673
$;04:19:49;11:04:10;16.09.2020;Y;09;51 56.82676 N;014 35.37075 E;0.161;0.2;;95.4;34.125;29.250;35.828;1008.539;8.7;66673
$;04:19:51;11:04:12;16.09.2020;Y;09;51 56.82668 N;014 35.37062 E;0.040;0.0;;95.1;34.0;29.500;35.820;1008.479;8.7;66673
$;04:19:53;11:04:14;16.09.2020;Y;09;51 56.82653 N;014 35.37038 E;0.030;0.0;;95.1;34.0;29.250;35.851;1008.530;8.7;66673
$;04:19:55;11:04:16;16.09.2020;Y;09;51 56.82653 N;014 35.37005 E;0.116;0.2;;95.3;34.0;29.375;35.889;1008.530;8.7;66673
$;04:19:57;11:04:18;16.09.2020;Y;09;51 56.82646 N;014 35.37001 E;0.085;0.1;;94.8;34.0;29.250;35.950;1008.479;8.7;66673
$;04:19:59;11:04:20;16.09.2020;Y;09;51 56.82648 N;014 35.36981 E;0.036;0.0;;94.4;34.125;29.500;36.26;1008.479;8.7;66673
$;04:20:01;11:04:22;16.09.2020;Y;09;51 56.82655 N;014 35.36983 E;0.028;0.0;;94.5;34.0;29.250;36.118;1008.599;8.7;66673
$;04:20:03;11:04:24;16.09.2020;Y;09;51 56.82648 N;014 35.36989 E;0.040;0.0;;93.7;34.250;29.375;36.194;1008.679;8.7;66673
$;04:20:05;11:04:26;16.09.2020;Y;09;51 56.82655 N;014 35.36989 E;0.060;0.1;;93.7;34.125;29.375;36.240;1008.359;8.7;66673
$;04:20:07;11:04:28;16.09.2020;Y;09;51 56.82658 N;014 35.36991 E;0.119;0.2;;93.8;34.375;29.125;36.270;1008.549;8.7;66673
$;04:20:09;11:04:30;16.09.2020;Y;09;51 56.82656 N;014 35.36997 E;0.055;0.1;;93.3;34.250;29.500;36.301;1008.520;8.7;66673
$;04:20:11;11:04:32;16.09.2020;Y;09;51 56.82679 N;014 35.37011 E;0.017;0.0;;93.3;34.0;29.375;36.278;1008.510;8.7;66673
$;04:20:13;11:04:34;16.09.2020;Y;09;51 56.82685 N;014 35.37022 E;0.315;0.5;;93.6;34.250;29.375;36.247;1008.440;8.7;66673
$;04:20:15;11:04:36;16.09.2020;Y;09;51 56.82686 N;014 35.37022 E;0.030;0.0;;93.9;34.125;29.375;36.148;1008.539;8.7;66673
$;04:20:17;11:04:38;16.09.2020;Y;09;51 56.82690 N;014 35.37037 E;0.289;0.5;;94.4;34.250;29.375;35.713;1008.500;8.7;66673
$;04:20:19;11:04:40;16.09.2020;Y;09;51 56.82703 N;014 35.37030 E;0.034;0.0;;94.6;34.250;29.375;35.385;1008.500;8.7;66673
$;04:20:21;11:04:42;16.09.2020;Y;09;51 56.82716 N;014 35.37037 E;0.090;0.1;;95.2;34.125;29.375;35.355;1008.500;8.7;66673
$;04:20:23;11:04:44;16.09.2020;Y;09;51 56.82726 N;014 35.37047 E;0.208;0.3;;95.4;34.250;29.250;35.431;1008.549;8.7;66673
$;04:20:25;11:04:46;16.09.2020;Y;09;51 56.82717 N;014 35.37055 E;0.708;1.3;;95.5;34.375;29.250;35.522;1008.409;8.7;66673
$;04:20:27;11:04:48;16.09.2020;Y;09;51 56.82713 N;014 35.37053 E;0.073;0.1;;95.9;34.375;29.375;35.667;1008.549;8.7;66673
$;04:20:29;11:04:50;16.09.2020;Y;09;51 56.82720 N;014 35.37076 E;1.280;2.3;117.96;95.6;34.500;29.375;35.744;1008.549;8.7;66673
$;04:20:31;11:04:52;16.09.2020;Y;09;51 56.82738 N;014 35.37099 E;0.315;0.5;;95.6;34.250;29.500;35.751;1008.500;8.7;66673
$;04:20:33;11:04:54;16.09.2020;Y;09;51 56.82750 N;014 35.37123 E;0.275;0.5;;95.4;34.375;29.375;35.728;1008.559;8.7;66673
$;04:20:35;11:04:56;16.09.2020;Y;09;51 56.82755 N;014 35.37132 E;0.157;0.2;;95.4;34.250;29.500;35.744;1008.400;8.7;66673
$;04:20:37;11:04:58;16.09.2020;Y;09;51 56.82744 N;014 35.37147 E;0.305;0.5;;95.5;34.375;29.625;35.744;1008.500;8.7;66673
$;04:20:39;11:05:00;16.09.2020;Y;09;51 56.82722 N;014 35.37156 E;0.407;0.7;;94.3;34.375;29.375;35.683;1008.489;8.7;66673
$;04:20:41;11:05:02;16.09.2020;Y;09;51 56.82680 N;014 35.37130 E;0.107;0.1;;93.5;34.375;29.250;35.614;1008.619;8.7;66673
$;04:20:43;11:05:04;16.09.2020;Y;09;51 56.82654 N;014 35.37120 E;0.215;0.3;;92.9;34.375;29.625;35.584;1008.549;8.7;66673
$;04:20:45;11:05:06;16.09.2020;Y;09;51 56.82628 N;014 35.37106 E;0.094;0.1;;92.4;34.375;29.375;35.645;1008.409;8.7;66673
$;04:20:47;11:05:08;16.09.2020;Y;09;51 56.82609 N;014 35.37085 E;0.188;0.3;;92.3;34.375;29.250;35.713;1008.549;8.7;66673
